"","colMeans(r)","name","BuyPrice","SellPrice","BuyDate","SellDate","Event","Gain"
"LON.BOO.Close",160.555555555556,"LON:BOO",154.25,169.675,"2017-03-07","2017-03-30","Exited Long",1.1
"LON.BUR.Close",164.203703703704,"LON:BUR",755,830.5,"2017-03-14","2017-03-17","Exited Long",1.1
"LON.FEVR.Close",185.148148148148,"LON:FEVR",1490,1639,"2017-03-08","2017-04-25","Exited Long",1.1
"LON.BKY.Close",193.166666666667,"LON:BKY",52.78,50.141,"2017-03-01","","STOP LOSS",0.95
"LON.FCRM.Close",196.518518518519,"LON:FCRM",62.5,59.375,"2017-03-01","","STOP LOSS",0.95
"LON.BOO.Close1",160.555555555556,"LON:BOO",154.25,169.675,"2017-03-07","2017-03-30","Exited Long",1.1
"LON.BUR.Close1",164.203703703704,"LON:BUR",755,830.5,"2017-03-14","2017-03-17","Exited Long",1.1
"LON.FEVR.Close1",185.148148148148,"LON:FEVR",1490,1639,"2017-03-08","2017-04-25","Exited Long",1.1
"LON.BKY.Close1",193.166666666667,"LON:BKY",52.78,50.141,"2017-03-01","","STOP LOSS",0.95
"LON.FCRM.Close1",196.518518518519,"LON:FCRM",62.5,59.375,"2017-03-01","","STOP LOSS",0.95
"LON.BOO.Close2",161.555555555556,"LON:BOO",155.25,170.775,"2017-03-15","2017-03-30","Exited Long",1.1
"LON.BUR.Close2",162.166666666667,"LON:BUR",800,880,"2017-03-22","2017-05-24","Exited Long",1.1
"LON.FEVR.Close2",184.925925925926,"LON:FEVR",1506.21,1656.831,"2017-03-15","2017-05-02","Exited Long",1.1
"LON.BKY.Close2",193.277777777778,"LON:BKY",54,51.3,"2017-03-15","","STOP LOSS",0.95
"LON.FCRM.Close2",200.037037037037,"LON:FCRM",59.5,56.525,"2017-03-15","","STOP LOSS",0.95
"LON.BOO.Close3",160.925925925926,"LON:BOO",156.61,172.271,"2017-03-22","2017-04-04","Exited Long",1.1
"LON.BUR.Close3",161.759259259259,"LON:BUR",800,880,"2017-03-22","2017-05-24","Exited Long",1.1
"LON.FEVR.Close3",186.111111111111,"LON:FEVR",1434,1577.4,"2017-03-22","2017-04-10","Exited Long",1.1
"LON.BKY.Close3",194.351851851852,"LON:BKY",53,50.35,"2017-03-23","","STOP LOSS",0.95
"LON.FCRM.Close3",200.407407407407,"LON:FCRM",59.7,56.715,"2017-03-23","","STOP LOSS",0.95
"LON.BOO.Close4",159.074074074074,"LON:BOO",171.2,188.32,"2017-04-07","2017-04-24","Exited Long",1.1
"LON.BUR.Close4",162.018518518519,"LON:BUR",805,885.5,"2017-03-29","2017-05-25","Exited Long",1.1
"LON.FEVR.Close4",185.407407407407,"LON:FEVR",1513,1664.3,"2017-04-05","2017-05-02","Exited Long",1.1
"LON.BKY.Close4",197.981481481481,"LON:BKY",50,47.5,"2017-03-29","","STOP LOSS",0.95
"LON.FCRM.Close4",200.407407407407,"LON:FCRM",61,57.95,"2017-04-12","","STOP LOSS",0.95
"LON.BOO.Close5",157.464285714286,"LON:BOO",171.2,188.32,"2017-04-07","2017-04-24","Exited Long",1.1
"LON.BUR.Close5",161.410714285714,"LON:BUR",802.3,882.53,"2017-04-05","2017-05-24","Exited Long",1.1
"LON.FEVR.Close5",183.75,"LON:FEVR",1513,1664.3,"2017-04-05","2017-05-02","Exited Long",1.1
"LON.FCRM.Close5",205.821428571429,"LON:FCRM",61,57.95,"2017-04-12","","STOP LOSS",0.95
"LON.BKY.Close5",219.625,"LON:BKY",45.51,50.061,"2017-04-19","2017-05-12","Exited Long",1.1
"LON.BOO.Close6",158.428571428571,"LON:BOO",176.36,193.996,"2017-04-12","2017-05-17","Exited Long",1.1
"LON.BUR.Close6",162.339285714286,"LON:BUR",792.5,871.75,"2017-04-12","2017-05-19","Exited Long",1.1
"LON.FEVR.Close6",184,"LON:FEVR",1572,1729.2,"2017-04-19","2017-05-11","Exited Long",1.1
"LON.FCRM.Close6",207.392857142857,"LON:FCRM",61,57.95,"2017-04-12","","STOP LOSS",0.95
"LON.BOTB.Close",220.196428571429,"LON:BOTB",390,429,"2017-04-18","2017-06-09","Exited Long",1.1
"LON.BOO.Close7",158.357142857143,"LON:BOO",178.66,196.526,"2017-04-19","2017-05-17","Exited Long",1.1
"LON.BUR.Close7",162.803571428571,"LON:BUR",797,876.7,"2017-04-19","2017-05-24","Exited Long",1.1
"LON.FEVR.Close7",184.178571428571,"LON:FEVR",1572,1729.2,"2017-04-19","2017-05-11","Exited Long",1.1
"LON.FCRM.Close7",207.642857142857,"LON:FCRM",59,56.05,"2017-04-20","","STOP LOSS",0.95
"LON.BOTB.Close1",219.571428571429,"LON:BOTB",385,423.5,"2017-04-20","2017-06-09","Exited Long",1.1
"LON.BOO.Close8",157.607142857143,"LON:BOO",189.04,207.944,"2017-05-02","2017-05-17","Exited Long",1.1
"LON.BUR.Close8",164.089285714286,"LON:BUR",782,860.2,"2017-04-26","2017-05-17","Exited Long",1.1
"LON.FEVR.Close8",183.25,"LON:FEVR",1627,1789.7,"2017-05-03","2017-05-15","Exited Long",1.1
"LON.FCRM.Close8",210.392857142857,"LON:FCRM",59.7,56.715,"2017-04-26","","STOP LOSS",0.95
"LON.KWS.Close",220.857142857143,"LON:KWS",825.5,784.225,"2017-04-26","","STOP LOSS",0.95
"LON.BOO.Close9",156.51724137931,"LON:BOO",186.7,205.37,"2017-05-03","2017-05-17","Exited Long",1.1
"LON.BUR.Close9",165.965517241379,"LON:BUR",775,852.5,"2017-05-03","2017-05-17","Exited Long",1.1
"LON.FEVR.Close9",183.965517241379,"LON:FEVR",1627,1789.7,"2017-05-03","2017-05-15","Exited Long",1.1
"LON.KWS.Close1",216.413793103448,"LON:KWS",812.8,772.16,"2017-05-03","","STOP LOSS",0.95
"LON.ACSO.Close",219.48275862069,"LON:ACSO",1996,1896.2,"2017-05-09","","STOP LOSS",0.95
